SCG1	SCG2	SCG3	SCG4	InstI1	InstI2	InstI3	InstI4	TI1	TI2	TI3	TI4	SS1	SS2	SS3	SS4	CR1	CR2	CR3	CR4	SDM1	SDM2	SDM3	SDM4	GEN	AGE	EDU	Level	Year
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	1	1	88	2037
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	1	1	89	2038
3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	1	2	2	90	2039
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	0	2	1	91	2040
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	0	2	2	92	2041
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	0	1	1	93	2042
4	3	5	4	4	5	4	4	5	4	4	3	4	4	3	4	5	3	3	3	4	4	3	4	1	1	1	94	2043
3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	1	1	1	95	2044
3	4	2	4	4	4	4	4	3	4	4	3	5	4	3	5	3	4	4	3	5	4	3	5	1	2	1	96	2045
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	1	2	97	2046
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	0	1	2	98	2047
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	2	1	99	2048
3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	1	1	1	100	2049
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	0	1	1	101	2050
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	2	1	102	2051
4	3	5	4	4	5	4	4	5	4	4	3	4	4	3	4	5	3	3	3	4	4	3	4	0	2	1	103	2052
3	4	2	4	4	4	4	4	3	4	4	3	5	4	3	5	3	4	4	3	5	4	3	5	0	2	2	104	2053
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	2	1	105	2054
1	3	4	2	3	3	3	1	2	5	5	4	2	5	3	5	2	5	4	4	2	5	3	5	1	1	1	106	2055
3	4	3	3	5	4	5	3	2	3	2	3	2	2	2	1	3	3	2	2	2	2	2	1	1	2	2	107	2056
3	3	3	2	4	4	4	2	3	2	4	4	2	4	2	3	2	5	4	5	2	4	2	3	1	1	1	108	2057
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	2	2	109	2058
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	0	2	1	110	2059
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	0	2	2	111	2060
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	0	1	1	112	2061
3	3	3	2	4	4	4	2	3	2	4	4	2	4	2	3	2	5	4	5	2	4	2	3	1	1	1	113	2062
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	1	2	1	114	2063
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	1	1	115	2064
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	0	1	1	116	2065
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	2	1	117	2066
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	2	2	118	2067
4	3	5	4	4	5	4	4	5	4	4	3	4	4	3	4	5	3	3	3	4	4	3	4	0	2	2	119	2068
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	1	1	1	120	2069
3	4	3	4	4	3	4	3	4	4	4	4	4	4	3	4	5	4	4	4	4	4	3	4	1	1	1	121	2070
3	3	3	2	4	4	4	2	3	2	4	4	2	4	2	3	2	5	4	5	2	4	2	3	0	1	1	122	2071
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	2	1	123	2072
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	2	2	124	2073
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	0	2	2	125	2074
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	1	1	126	2075
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	1	1	127	2076
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	1	1	128	2077
3	5	5	2	5	3	5	2	3	4	5	3	5	5	5	5	5	5	5	5	5	5	5	5	1	2	2	129	2078
3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	0	2	1	130	2079
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	0	2	2	131	2080
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	0	1	1	132	2081
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	1	1	1	133	2082
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	1	1	134	2083
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	2	1	135	2084
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	1	2	136	2085
3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	0	1	2	137	2086
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	2	1	138	2087
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	1	1	139	2088
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	0	1	1	140	2089
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	2	1	141	2090
3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	1	1	1	142	2091
3	4	2	4	4	4	4	4	3	4	4	3	5	4	3	5	3	4	4	3	5	4	3	5	0	1	1	143	2092
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	2	1	144	2093
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	2	2	145	2094
3	4	3	4	2	4	2	3	2	4	2	2	2	2	2	2	3	2	3	2	2	2	2	2	0	2	2	146	2095
1	3	4	2	3	3	3	1	2	5	5	4	2	5	3	5	2	5	4	4	2	5	3	5	1	1	1	147	2096
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	1	1	148	2097
3	4	3	3	5	4	5	3	2	3	2	3	2	2	2	1	3	3	2	2	2	2	2	1	0	1	2	149	2098
3	4	3	4	4	3	4	3	4	4	4	4	4	4	3	4	5	4	4	4	4	4	3	4	0	1	1	150	2099
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	1	2	2	151	2100
3	3	3	2	4	4	4	2	3	2	4	4	2	4	2	3	2	5	4	5	2	4	2	3	1	1	1	152	2101
3	2	3	4	4	3	4	4	4	3	3	3	4	3	4	4	3	3	4	3	4	3	4	4	1	1	1	153	2102
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	1	2	154	2103
3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	0	2	1	155	2104
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	0	2	2	156	2105
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	2	1	157	2106
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	1	1	1	158	2107
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	2	2	159	2108
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	1	1	160	2109
4	2	1	4	2	1	2	2	1	2	2	3	1	2	1	2	1	1	1	1	1	2	1	2	1	2	2	161	2110
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	0	2	1	162	2111
3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	0	2	2	163	2112
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	0	1	1	164	2113
3	4	3	4	2	4	2	3	2	4	2	2	2	2	2	2	3	2	3	2	2	2	2	2	1	1	1	165	2114
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	2	1	166	2115
3	4	3	4	4	3	4	3	4	4	4	4	4	4	3	4	5	4	4	4	4	4	3	4	1	1	1	167	2116
3	3	3	2	4	4	4	2	3	2	4	4	2	4	2	3	2	5	4	5	2	4	2	3	0	1	1	168	2117
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	2	1	169	2118
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	2	2	170	2119
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	0	2	2	171	2120
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	1	1	172	2121
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	1	1	173	2122
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	1	1	174	2123
3	5	5	2	5	3	5	2	3	4	5	3	5	5	5	5	5	5	5	5	5	5	5	5	1	2	2	175	2124
3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	0	2	1	176	2125
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	0	2	2	177	2126
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	0	1	1	178	2127
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	1	1	1	179	2128
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	2	1	180	2129
3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	1	1	1	181	2130
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	0	1	1	182	2131
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	2	1	183	2132
4	3	5	4	4	5	4	4	5	4	4	3	4	4	3	4	5	3	3	3	4	4	3	4	0	2	1	184	2133
3	4	2	4	4	4	4	4	3	4	4	3	5	4	3	5	3	4	4	3	5	4	3	5	0	2	2	185	2134
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	2	1	186	2135
1	3	4	2	3	3	3	1	2	5	5	4	2	5	3	5	2	5	4	4	2	5	3	5	1	1	1	187	2136
3	4	3	3	5	4	5	3	2	3	2	3	2	2	2	1	3	3	2	2	2	2	2	1	1	2	2	188	2137
3	3	3	2	4	4	4	2	3	2	4	4	2	4	2	3	2	5	4	5	2	4	2	3	1	1	1	189	2138
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	2	2	190	2139
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	0	2	1	191	2140
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	0	2	2	192	2141
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	0	1	1	193	2142
3	3	3	2	4	4	4	2	3	2	4	4	2	4	2	3	2	5	4	5	2	4	2	3	1	1	1	194	2143
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	1	2	1	195	2144
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	1	1	196	2145
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	0	1	1	197	2146
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	2	1	198	2147
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	2	2	199	2148
4	3	5	4	4	5	4	4	5	4	4	3	4	4	3	4	5	3	3	3	4	4	3	4	0	2	2	200	2149
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	1	1	1	201	2150
3	4	3	4	4	3	4	3	4	4	4	4	4	4	3	4	5	4	4	4	4	4	3	4	1	1	1	202	2151
3	3	3	2	4	4	4	2	3	2	4	4	2	4	2	3	2	5	4	5	2	4	2	3	0	1	1	203	2152
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	1	1	204	2153
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	1	1	205	2154
3	5	5	2	5	3	5	2	3	4	5	3	5	5	5	5	5	5	5	5	5	5	5	5	1	2	2	206	2155
3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	0	2	1	207	2156
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	0	2	2	208	2157
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	0	1	1	209	2158
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	1	1	1	210	2159
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	1	1	211	2160
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	2	1	212	2161
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	1	2	213	2162
3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	0	1	2	214	2163
